,hu_aq_finfishaquaculture_opennetpens_d,hu_aq_shellfishaquaculture_beachseeding_d,hu_aq_shellfishaquaculture_offbottom_d,hu_co_demersalfishing_bottomlongline_d,hu_co_demersalfishing_bottomtrawling_d,hu_co_demersalfishing_shrimptrawling_d,hu_co_demersalfishing_pressurehose_d,hu_co_demersalfishing_inverttrapcom_d_CRAB,hu_co_demersalfishing_inverttrapcom_d_PRAWN,hu_co_demersalfishing_sabletrapcom_d,hu_co_intertidalhandpickingdigging_intertidalhandpickdigcom_d,hu_co_pelagicfishing_gillnetscom_d_HERRING,hu_co_pelagicfishing_gillnetscom_d_SALMON,hu_co_pelagicfishing_pelagicandmidwatertrawls_d,hu_co_pelagicfishing_purseseine_d_HERRING,hu_co_pelagicfishing_purseseine_d_SALMON,hu_co_pelagicfishing_salmontrollcom_d,hu_co_pelagicfishing_trollingrodandreelcomTUNA_d,hu_co_scubadivefishing_scubadivefishingcom_d_GSU,hu_co_scubadivefishing_scubadivefishingcom_d_RSU,hu_rf_demersalfishing_hookandlinerec_d,hu_rf_demersalfishing_traprec_d_CRAB,hu_rf_demersalfishing_traprec_d_PRAWN,hu_rf_intertidalhandpickingdigging_intertidalhandpickdigrec_d,hu_rf_pelagicfishing_trollingrodandreelrec_d,hu_rf_scubadivefishing_scubadivefishingrec_d_ALL,hu_rf_scubadivefishing_scubadivefishingrec_d_RSU,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,hu_ma_tidalcurrent_tidalstream_d,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,hu_ot_dischargesanddisposal_pulpandpapermills_d,hu_ot_dischargesanddisposal_sewageeffluentfromterrestrial_d,hu_ot_dischargesanddisposal_terrestrialminerunoff_d,hu_ot_dredging_dredging_d,hu_ot_underwaterinfrastructure_seafloorelectricalcommscables_d,hu_ot_underwaterinfrastructure_seafloorpipelinesfortransoil_d,hu_tr_largevesselscargoandcruiseships_largevesselscargo_d,hu_ih_indigenousharvest_foodsocialceremonial
S2_CC_185,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
S2_CC_186,X,X,X,X,na,na,O,O,O,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
S2_CC_187,X,X,X,X,na,na,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_188,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_CC_190,X,X,X,X,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
S2_CC_191,X,X,X,O,na,na,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_192,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_193,X,X,X,O,na,na,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
S2_CC_194,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
S2_CC_195,X,O,O,X,na,na,O,X,X,X,O,O,O,X,O,O,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_196,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
S2_CC_197,X,X,X,O,na,na,O,O,O,O,O,O,O,X,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
S2_CC_200,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_201,X,X,X,X,na,na,X,X,X,X,O,O,O,X,O,O,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
S2_CC_202,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_203,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
S2_CC_204,X,X,X,X,na,na,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_205,X,X,X,X,na,na,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_206,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
S2_CC_210,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_CC_211,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_CC_212,X,X,X,X,na,na,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
